Indiv	NatalYear	CoreNestling	ImmCohort	InclBr
1513-02464	1996	N	NA	N
1513-02465	1996	N	NA	N
1513-02466	1996	N	NA	N
1513-02467	1996	N	NA	Y
1513-02468	NA	N	NA	Y
1513-02470	NA	N	1995	Y
1513-02471	NA	N	1995	Y
1513-02486	1997	N	NA	Y
1513-02487	1997	N	NA	N
1513-02488	1997	N	NA	N
1513-02489	1997	N	NA	N
1513-02493	1997	N	NA	N
1513-02494	1997	N	NA	N
1513-02495	1997	N	NA	N
1513-50104	1999	Y	NA	N
1513-50105	1999	Y	NA	N
1513-50106	1999	Y	NA	N
1513-50107	1999	Y	NA	N
1513-50108	1999	Y	NA	N
1513-50110	1999	Y	NA	N
1513-50116	1999	Y	NA	Y
1513-50117	1999	Y	NA	N
1513-50118	1999	Y	NA	N
1513-50119	1999	Y	NA	N
1513-50120	1999	Y	NA	Y
1513-50121	1999	Y	NA	Y
1513-50122	1999	Y	NA	N
1513-50123	1999	Y	NA	N
1513-50124	1999	Y	NA	N
1513-50125	1999	Y	NA	N
1513-50136	1999	Y	NA	N
1513-50138	1999	Y	NA	N
1513-50139	1999	Y	NA	N
1513-50140	1999	Y	NA	N
1513-50148	1999	Y	NA	N
1513-50172	NA	N	1998	Y
1513-50173	1999	Y	NA	N
1513-50174	1999	Y	NA	N
1513-50178	1999	Y	NA	Y
1513-50179	1999	Y	NA	N
1513-50180	1999	Y	NA	N
1513-50181	1999	Y	NA	N
1513-50182	1999	Y	NA	N
1513-50183	1999	Y	NA	N
1513-50184	1999	Y	NA	N
1513-50203	1999	N	NA	N
1513-50204	1999	N	NA	Y
1513-50205	1999	N	NA	N
1513-50206	1999	N	NA	N
1513-50207	1999	N	NA	N
1513-50208	1999	N	NA	N
1513-50209	1999	N	NA	N
1513-50220	1999	N	NA	N
1513-50221	1999	N	NA	N
1513-50231	1999	N	NA	N
1513-50235	1999	N	NA	N
1513-50236	1999	N	NA	N
1513-50237	1999	N	NA	N
1513-50238	1999	N	NA	N
1513-50239	1999	N	NA	N
1513-50240	1999	N	NA	N
1513-50241	1999	N	NA	Y
1513-50245	1999	N	NA	Y
1513-50253	1999	N	NA	N
1513-50261	1999	N	NA	N
1513-50262	1999	N	NA	N
1513-50263	1999	N	NA	N
1513-50264	1999	N	NA	N
1513-50267	NA	N	1997	Y
1513-50277	NA	N	1997	Y
1513-50278	1999	N	NA	N
1513-50279	NA	N	NA	Y
1513-50283	1999	N	NA	N
1513-50284	1999	N	NA	Y
1513-50285	1999	N	NA	N
1513-50289	1999	N	NA	N
1513-50290	1999	N	NA	N
1513-50291	1999	N	NA	Y
1513-50292	1999	N	NA	N
1513-50297	1999	N	NA	N
1513-50298	1999	N	NA	N
1513-50299	1999	N	NA	N
1513-50300	1999	N	NA	N
1513-50314	1999	Y	NA	N
1513-50315	1999	Y	NA	Y
1513-50316	1999	Y	NA	N
1513-50323	1999	Y	NA	N
1513-50331	1999	Y	NA	Y
